"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2025","5155179","Jacob De Jesus","WR","California","ACC","0.176","0.284","0.021","0.144","0.185","0.218","0.148","0.237"
"2025","5155366","Malachi Hosley","RB","Georgia Tech","ACC","0.134","0.047","0.216","0.133","0.154","0.113","0.138","0.125"
"2025","5156056","Caleb Hampton","RB","Stanford","ACC","0.045","0.008","0.117","0.056","0.029","0.038","0.066","0.012"
"2025","5156057","Myles Libman","WR","Stanford","ACC","0.025","0.046","0","0.017","0.039","0.022","0.023","0.028"
"2025","5156116","Juju Preston","WR","Clemson","ACC","0.015","0.027","0","0","0","0.077","0","0.048"
"2025","5156440","Jamarice Wilder","RB","Louisville","ACC","0.067","0","0.16","0.063","0.118","0","0.064","0.077"
"2025","5156998","CharMar Brown","RB","Miami","ACC","0.138","0.04","0.237","0.157","0.111","0.139","0.162","0.066"
"2025","5159175","Malachi Toney","WR","Miami","ACC","0.15","0.273","0.042","0.147","0.142","0.168","0.133","0.196"
"2025","5159453","Darius Johnson","RB","NC State","ACC","0.051","0","0.12","0.03","0.111","0","0.068","0"
"2025","5159481","Dominic Deluca","TE","Wake Forest","ACC","0.027","0.059","0","0.03","0","0.063","0.022","0.034"
"2025","5159944","Kris Hughes","WR","Louisville","ACC","0.038","0.069","0","0.02","0.03","0.098","0.03","0.063"
"2025","5159948","Chris Johnson Jr.","RB","SMU","ACC","0.108","0.048","0.184","0.127","0.108","0.068","0.109","0.105"
"2025","5160640","Anthony Ferrucci","RB","Boston College","ACC","0.051","0","0.108","0.057","0.042","0.056","0.065","0"
"2025","5161137","Dean-Taylor Chapman","RB","California","ACC","0.012","0","0.026","0.026","0","0","0.015","0"
"2025","5161638","Tyler Chandler","RB","Syracuse","ACC","0.014","0","0.029","0.026","0","0","0.018","0"
"2025","5161652","Ja'Ricous Hairston","TE","Virginia Tech","ACC","0.03","0.065","0","0.009","0.019","0.08","0.018","0.056"
"2025","5161835","Jaylen McGill","RB","North Carolina","ACC","0.037","0.043","0.031","0.038","0.021","0.062","0.034","0.043"
"2025","5164313","Jaron-Keawe Sagapolutele","QB","California","ACC","0.596","0.946","0.091","0.492","0.654","0.735","0.497","0.816"
"2025","5164317","Shaker Reisig","QB","Boston College","ACC","0.129","0.19","0.048","0.103","0.127","0.15","0.133","0.121"
"2025","5164327","Anthony League","RB","California","ACC","0.048","0.018","0.093","0.061","0.056","0","0.054","0.034"
"2025","5164331","Girard Pringle Jr.","RB","Miami","ACC","0.12","0.017","0.223","0.163","0.121","0","0.132","0.081"
"2025","5164332","Nate Sheppard","RB","Duke","ACC","0.247","0.084","0.448","0.296","0.278","0.144","0.273","0.187"
"2025","5164345","Chase Loftin","TE","Florida State","ACC","0.014","0.053","0","0.03","0","0","0.018","0"
"2025","5164350","Jayvan Boggs","WR","Florida State","ACC","0.047","0.115","0","0.044","0.05","0.058","0.047","0.047"
"2025","5164352","Carterrious Brown","WR","SMU","ACC","0.031","0.06","0","0","0.098","0","0","0.103"
"2025","5164365","Daylyn Upshaw","WR","Miami","ACC","0.021","0.043","0","0.006","0.034","0.043","0.008","0.065"
"2025","5165117","Mark Hamper","WR","California","ACC","0.047","0.077","0","0.044","0.043","0.066","0.043","0.054"
"2025","5165154","Mason Mini","TE","California","ACC","0.071","0.118","0.004","0.048","0.076","0.115","0.063","0.087"
"2025","5186586","Ty Clark III","RB","Wake Forest","ACC","0.087","0.048","0.126","0.056","0.103","0.115","0.089","0.081"
"2025","5197034","Malachi Thomas","TE","Pittsburgh","ACC","0.029","0.053","0","0.013","0.028","0.044","0.019","0.047"
"2025","5199946","Gabe Daniels","WR","Syracuse","ACC","0.042","0.081","0","0.077","0","0","0.054","0"
"2025","5203590","Madrid Tucker","WR","North Carolina","ACC","0.019","0.038","0","0.048","0","0","0.036","0"
"2025","5206061","Darien Williams","WR","Syracuse","ACC","0.045","0.095","0.006","0.04","0.031","0.085","0.031","0.076"
"2025","5207842","Jalen Cooper","WR","SMU","ACC","0.064","0.124","0","0.083","0.053","0.038","0.071","0.045"
"2025","5207927","Dramekco Green","RB","SMU","ACC","0.092","0.016","0.173","0.128","0.083","0.022","0.106","0.056"
"2025","5208095","Mason Heintschel","QB","Pittsburgh","ACC","0.54","0.864","0.166","0.415","0.608","0.709","0.449","0.717"
"2025","5208138","Luke Carney","QB","Syracuse","ACC","0.063","0.07","0.058","0.042","0.081","0.07","0.056","0.077"
"2025","5208592","Bo MacCormack III","RB","Boston College","ACC","0.063","0.02","0.112","0.076","0.074","0.018","0.072","0.037"
"2025","5209161","Malachi Coleman","RB","Syracuse","ACC","0.042","0","0.075","0.053","0.056","0","0.059","0"
"2025","5209709","Teriq Mallory","WR","Florida State","ACC","0.014","0.053","0","0","0","0","0","0.077"
"2025","5209762","Shane Marshall","RB","Georgia Tech","ACC","0.02","0","0.048","0.037","0","0","0.027","0"
"2025","5210003","Chris Denson","QB","Clemson","ACC","0.064","0.036","0.107","0.063","0.1","0.031","0.077","0.041"
"2025","5210164","Bryce Yates","WR","Pittsburgh","ACC","0.028","0.052","0","0.014","0.051","0.029","0.027","0.03"
"2025","5210515","Daunte Bacheyie","TE","Syracuse","ACC","0.019","0.039","0","0.025","0.011","0.019","0.021","0.012"
"2025","5210729","Xay Davis","RB","Virginia","ACC","0.069","0","0.128","0.05","0.097","0.079","0.076","0.056"
"2025","5211163","Mekhi Dodd","RB","Boston College","ACC","0.065","0.015","0.132","0.053","0.077","0.042","0.09","0"
"2025","5212231","Dillon Newton-Short","WR","Virginia","ACC","0.021","0.045","0","0.038","0","0.019","0.024","0.014"
"2025","5212611","Tony Kinsler","WR","Pittsburgh","ACC","0.013","0.024","0","0.02","0","0.022","0.021","0"
"2025","5212990","Darius Johnson","WR","Syracuse","ACC","0.029","0.067","0","0.035","0.03","0.021","0.023","0.04"
"2025","5213239","Au'Tori Newkirk","QB","North Carolina","ACC","0.062","0.1","0.02","0.074","0.057","0.042","0.085","0"
"2025","5214409","Jeffrey Overton Jr.","RB","Virginia Tech","ACC","0.014","0","0.028","0.036","0","0","0.024","0"
"2025","5214566","Dawson Pough","WR","Boston College","ACC","0.04","0.071","0","0.048","0.015","0.06","0.042","0.036"
"2025","5215011","J.P. Powell","RB","Georgia Tech","ACC","0.041","0","0.095","0.037","0.091","0","0.054","0"
"2025","5215337","Preston Douglas","TE","NC State","ACC","0.015","0.017","0.014","0","0","0.038","0.01","0.026"
"2025","5216505","Jamar Searcy","RB","Wake Forest","ACC","0.027","0","0.053","0.036","0.034","0","0.025","0.032"
"2025","5218242","Zay Parks","RB","Florida State","ACC","0.101","0","0.144","0.095","0.087","0.167","0.09","0.154"
"2025","5218243","Jeremiah Johnson","RB","Florida State","ACC","0.068","0","0.096","0.041","0.087","0.083","0.049","0.154"
"2025","5218249","Willy Suarez","WR","Florida State","ACC","0.014","0.04","0","0.03","0","0","0.019","0"
"2025","5218741","Jayden Parker","RB","California","ACC","0.012","0","0.026","0","0.034","0","0.015","0"
"2025","5218742","Isaac Torres","WR","California","ACC","0.012","0.022","0","0","0.034","0","0","0.056"
"2025","5218753","T.J. Moore","WR","Clemson","ACC","0.089","0.16","0.005","0.094","0.083","0.102","0.08","0.113"
"2025","5218756","Clark Sanderson","WR","Clemson","ACC","0.023","0.036","0","0.018","0.023","0","0.011","0.048"
"2025","5218757","Chase Byrd","WR","Clemson","ACC","0.022","0.039","0","0.016","0.024","0.04","0.011","0.05"
"2025","5218787","Que'Sean Brown","WR","Duke","ACC","0.092","0.168","0.002","0.088","0.079","0.117","0.08","0.121"
"2025","5218907","Luke Harpring","TE","Georgia Tech","ACC","0.041","0.097","0","0.036","0.045","0.048","0.031","0.073"
"2025","5219169","Charleston French","RB","North Carolina","ACC","0.035","0.04","0.031","0.042","0","0.071","0.025","0.059"
"2025","5219225","Zach Hernandez","RB","SMU","ACC","0.032","0","0.063","0.032","0.05","0","0.045","0"
