player,team,conference,season,category,playerId,position_stat,LONG,REC,TD,YDS,YPR,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,receiving_score,usage_pct,production_pct,impact_score,impact_percentile,outcome,CAR,YPC,rushing_score
Elijah Gilliam,Fresno State,Mountain West,2024,rushing,4699761,RB,24,,8,466,,elijah gilliam,RB,254427,4699761.0,HighSchool,2020.0,,Elijah Gilliam,Bishop Gorman,Fresno State,RB,70.0,200.0,,,Las Vegas,NV,USA,"{'latitude': 36.1672559, 'longitude': -115.1485163, 'fipsCode': '32003'}",2020.0,5.0,fresno state,fresno state,1,0,,0.5016233766233766,0.7597402597402597,0.6564935064935065,0.7597402597402597,Starter,121.0,3.9,868.0
Elijah Green,North Carolina,ACC,2020,rushing,4688817,RB,15,,0,55,,elijah green,RB,119228,4688817.0,HighSchool,2020.0,822.0,Elijah Green,Blessed Trinity Catholic,North Carolina,RB,70.0,190.0,3.0,0.8648,Roswell,GA,USA,"{'latitude': 34.02332, 'longitude': -84.360022, 'fipsCode': '13121'}",2020.0,1.0,north carolina,north carolina,1,0,,0.5007849293563579,0.3720565149136577,0.4235478806907378,0.3720565149136577,Depth / Rotation,10.0,5.5,75.0
Elijah Green,North Carolina,ACC,2021,rushing,4688817,RB,9,,0,39,,elijah green,RB,119228,4688817.0,HighSchool,2020.0,822.0,Elijah Green,Blessed Trinity Catholic,North Carolina,RB,70.0,190.0,3.0,0.8648,Roswell,GA,USA,"{'latitude': 34.02332, 'longitude': -84.360022, 'fipsCode': '13121'}",2020.0,2.0,north carolina,north carolina,1,0,,0.5006544502617801,0.2094240837696335,0.3259162303664922,0.2094240837696335,Bust,11.0,3.5,61.0
Elijah Green,North Carolina,ACC,2022,rushing,4688817,RB,80,,8,558,,elijah green,RB,119228,4688817.0,HighSchool,2020.0,822.0,Elijah Green,Blessed Trinity Catholic,North Carolina,RB,70.0,190.0,3.0,0.8648,Roswell,GA,USA,"{'latitude': 34.02332, 'longitude': -84.360022, 'fipsCode': '13121'}",2020.0,3.0,north carolina,north carolina,1,0,,0.5007739938080495,0.7708978328173375,0.6628482972136223,0.7708978328173375,Starter,131.0,4.3,980.0
Elijah Green,North Carolina,ACC,2023,rushing,4688817,RB,9,,0,12,,elijah green,RB,119228,4688817.0,HighSchool,2020.0,822.0,Elijah Green,Blessed Trinity Catholic,North Carolina,RB,70.0,190.0,3.0,0.8648,Roswell,GA,USA,"{'latitude': 34.02332, 'longitude': -84.360022, 'fipsCode': '13121'}",2020.0,4.0,north carolina,north carolina,1,0,,0.5010224948875256,0.0531697341513292,0.2323108384458078,0.0531697341513292,Bust,4.0,3.0,20.0
Elijah Green,Indiana,Big Ten,2024,rushing,4688817,RB,51,,5,201,,elijah green,RB,119228,4688817.0,HighSchool,2020.0,822.0,Elijah Green,Blessed Trinity Catholic,North Carolina,RB,70.0,190.0,3.0,0.8648,Roswell,GA,USA,"{'latitude': 34.02332, 'longitude': -84.360022, 'fipsCode': '13121'}",2020.0,5.0,indiana,north carolina,0,0,,0.5016233766233766,0.4577922077922078,0.4753246753246753,0.4577922077922078,Depth / Rotation,29.0,6.9,359.0
Elijah Hines,Louisiana Tech,Conference USA,2019,rushing,4575408,RB,14,,0,29,,elijah hines,RB,128602,,HighSchool,2018.0,2333.0,Elijah Hines,Port Arthur Memorial,Louisiana Tech,RB,68.0,170.0,2.0,0.7964,Port Arthur,TX,USA,"{'latitude': 29.8988618, 'longitude': -93.9288723, 'fipsCode': '48245'}",2018.0,2.0,louisiana tech,louisiana tech,1,0,,0.5006544502617801,0.1361256544502617,0.2819371727748691,0.1361256544502617,Bust,3.0,9.7,35.0
Elijah Howard,Central Connecticut,NEC,2023,rushing,4565553,RB,82,,4,805,,elijah howard,RB,116467,4565553.0,HighSchool,2021.0,729.0,Elijah Howard,Baylor School,Virginia Tech,RB,71.0,182.0,3.0,0.8678,Chattanooga,TN,USA,"{'latitude': 35.0457219, 'longitude': -85.3094883, 'fipsCode': '47065'}",2021.0,3.0,central connecticut,virginia tech,0,0,,0.5007739938080495,0.8219814241486069,0.6934984520123839,0.8219814241486069,Starter,140.0,5.8,1165.0
Elijah Howard,Central Connecticut,NEC,2024,rushing,4565553,RB,40,,8,929,,elijah howard,RB,116467,4565553.0,HighSchool,2021.0,729.0,Elijah Howard,Baylor School,Virginia Tech,RB,71.0,182.0,3.0,0.8678,Chattanooga,TN,USA,"{'latitude': 35.0457219, 'longitude': -85.3094883, 'fipsCode': '47065'}",2021.0,4.0,central connecticut,virginia tech,0,0,,0.5010224948875256,0.8997955010224948,0.7402862985685071,0.8997955010224948,Impact Player,225.0,4.1,1539.0
Elijah Howard,Central Connecticut,NEC,2025,rushing,4565553,RB,93,,11,1105,,elijah howard,RB,116467,4565553.0,HighSchool,2021.0,729.0,Elijah Howard,Baylor School,Virginia Tech,RB,71.0,182.0,3.0,0.8678,Chattanooga,TN,USA,"{'latitude': 35.0457219, 'longitude': -85.3094883, 'fipsCode': '47065'}",2021.0,5.0,central connecticut,virginia tech,0,0,,0.5016233766233766,0.9545454545454546,0.7733766233766234,0.9545454545454546,Impact Player,202.0,5.5,1729.0
