player,team,conference,season,category,playerId,position_stat,CAR,LONG,TD,YDS,YPC,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,rushing_score,usage_pct,production_pct,impact_score,impact_percentile,outcome
SaRodorick Thompson,Texas Tech,Big 12,2021,rushing,4362162,RB,107,33,10,500,4.7,sarodorick thompson,RB,128094,4362162,HighSchool,2018.0,1825.0,SaRodorick Thompson,Ranchview,Texas Tech,RB,72.5,192.0,3.0,0.8194,Carrollton,TX,USA,"{'latitude': 32.9537349, 'longitude': -96.8902816, 'fipsCode': '48113'}",2018.0,4.0,texas tech,texas tech,1,0,914,0.5010224948875256,0.7464212678936605,0.6482617586912065,0.7464212678936605,Starter
SaRodorick Thompson,Texas Tech,Big 12,2022,rushing,4362162,RB,140,36,7,684,4.9,sarodorick thompson,RB,128094,4362162,HighSchool,2018.0,1825.0,SaRodorick Thompson,Ranchview,Texas Tech,RB,72.5,192.0,3.0,0.8194,Carrollton,TX,USA,"{'latitude': 32.9537349, 'longitude': -96.8902816, 'fipsCode': '48113'}",2018.0,5.0,texas tech,texas tech,1,0,1104,0.5016233766233766,0.8457792207792207,0.708116883116883,0.8457792207792207,Starter
Salahadin Allah,Oregon State,Pac-12,2024,rushing,5150582,RB,55,21,1,258,4.7,salahadin allah,RB,110342,5150582,HighSchool,2024.0,1732.0,Salahadin Allah,La Marque,Oregon State,RB,72.0,195.0,3.0,0.8469,La Marque,TX,USA,"{'latitude': 29.3685674, 'longitude': -94.9713134, 'fipsCode': '48167'}",2024.0,1.0,oregon state,oregon state,1,0,388,0.5007849293563579,0.7425431711145997,0.645839874411303,0.7425431711145997,Starter
Salahadin Allah,Oregon State,Pac-12,2025,rushing,5150582,RB,19,16,0,71,3.7,salahadin allah,RB,110342,5150582,HighSchool,2024.0,1732.0,Salahadin Allah,La Marque,Oregon State,RB,72.0,195.0,3.0,0.8469,La Marque,TX,USA,"{'latitude': 29.3685674, 'longitude': -94.9713134, 'fipsCode': '48167'}",2024.0,2.0,oregon state,oregon state,1,0,109,0.5006544502617801,0.30497382198952877,0.3832460732984293,0.30497382198952877,Depth / Rotation
Sam Franklin,UT Martin,OVC,2022,rushing,4877529,RB,85,89,8,676,8.0,sam franklin,RB,255479,,HighSchool,2021.0,,Sam Franklin,Little Rock Central,UT Martin,RB,69.0,170.0,,,Little Rock,AR,USA,"{'latitude': 34.7464809, 'longitude': -92.2895948, 'fipsCode': '05119'}",2021.0,2.0,ut martin,ut martin,1,0,1006,0.5006544502617801,0.8632198952879581,0.7181937172774869,0.8632198952879581,Impact Player
Sam Franklin,UT Martin,Big South-OVC,2023,rushing,4877529,RB,223,81,11,1378,6.2,sam franklin,RB,255479,,HighSchool,2021.0,,Sam Franklin,Little Rock Central,UT Martin,RB,69.0,170.0,,,Little Rock,AR,USA,"{'latitude': 34.7464809, 'longitude': -92.2895948, 'fipsCode': '05119'}",2021.0,3.0,ut martin,ut martin,1,0,2044,0.5007739938080495,0.9705882352941176,0.7826625386996904,0.9705882352941176,Impact Player
Sam Franklin,Oklahoma,SEC,2024,rushing,4877529,RB,18,34,0,132,7.3,sam franklin,RB,255479,,HighSchool,2021.0,,Sam Franklin,Little Rock Central,UT Martin,RB,69.0,170.0,,,Little Rock,AR,USA,"{'latitude': 34.7464809, 'longitude': -92.2895948, 'fipsCode': '05119'}",2021.0,4.0,oklahoma,ut martin,0,0,168,0.5010224948875256,0.28016359918200406,0.3685071574642127,0.28016359918200406,Depth / Rotation
Sam Franklin,South Florida,American Athletic,2025,rushing,4877529,RB,80,73,4,474,5.9,sam franklin,RB,255479,,HighSchool,2021.0,,Sam Franklin,Little Rock Central,UT Martin,RB,69.0,170.0,,,Little Rock,AR,USA,"{'latitude': 34.7464809, 'longitude': -92.2895948, 'fipsCode': '05119'}",2021.0,5.0,south florida,ut martin,0,0,714,0.5016233766233766,0.6558441558441559,0.5941558441558442,0.6558441558441559,Starter
Sammy Malignaggi,James Madison,Sun Belt,2022,rushing,4432370,RB,14,16,1,60,4.3,sammy malignaggi,RB,254597,,HighSchool,2020.0,,Sammy Malignaggi,Buckingham Browne & Nichols School,James Madison,RB,71.0,180.0,,,Cambridge,MA,USA,"{'latitude': 42.3750997, 'longitude': -71.1056157, 'fipsCode': '25017'}",2020.0,3.0,james madison,james madison,1,0,108,0.5007739938080495,0.2801857585139319,0.368421052631579,0.2801857585139319,Depth / Rotation
Sammy Malignaggi,James Madison,Sun Belt,2023,rushing,4432370,RB,13,15,0,71,5.5,sammy malignaggi,RB,254597,,HighSchool,2020.0,,Sammy Malignaggi,Buckingham Browne & Nichols School,James Madison,RB,71.0,180.0,,,Cambridge,MA,USA,"{'latitude': 42.3750997, 'longitude': -71.1056157, 'fipsCode': '25017'}",2020.0,4.0,james madison,james madison,1,0,97,0.5010224948875256,0.18609406952965235,0.31206543967280165,0.18609406952965235,Bust
Sammy Malignaggi,Campbell,CAA,2024,rushing,4432370,RB,42,13,0,138,3.3,sammy malignaggi,RB,254597,,HighSchool,2020.0,,Sammy Malignaggi,Buckingham Browne & Nichols School,James Madison,RB,71.0,180.0,,,Cambridge,MA,USA,"{'latitude': 42.3750997, 'longitude': -71.1056157, 'fipsCode': '25017'}",2020.0,5.0,campbell,james madison,0,0,222,0.5016233766233766,0.32142857142857145,0.3935064935064935,0.32142857142857145,Depth / Rotation
