player,team,conference,season,category,playerId,position_stat,LONG,REC,TD,YDS,YPR,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,receiving_score,usage_pct,production_pct,impact_score,impact_percentile,outcome
Vinny Anthony,Wisconsin,Big Ten,2023,receiving,4869816,WR,35,10,0,99,9.9,vinny anthony,WR,114279,,HighSchool,2022.0,735.0,Vinny Anthony,Louisville Male,,WR,73.0,170.0,3.0,0.8719,Louisville,KY,USA,"{'latitude': 38.2542376, 'longitude': -85.759407, 'fipsCode': '21111'}",2022.0,2.0,wisconsin,none,0,0,149,0.5003996802557954,0.4936051159072742,0.49632294164668267,0.4936051159072742,Depth / Rotation
Vinny Anthony,Wisconsin,Big Ten,2024,receiving,4869816,WR,63,39,4,672,17.2,vinny anthony,WR,114279,,HighSchool,2022.0,735.0,Vinny Anthony,Louisville Male,,WR,73.0,170.0,3.0,0.8719,Louisville,KY,USA,"{'latitude': 38.2542376, 'longitude': -85.759407, 'fipsCode': '21111'}",2022.0,3.0,wisconsin,none,0,0,947,0.5004132231404959,0.8933884297520661,0.736198347107438,0.8933884297520661,Impact Player
Vinny Anthony,Wisconsin,Big Ten,2025,receiving,4869816,WR,67,31,1,391,12.6,vinny anthony,WR,114279,,HighSchool,2022.0,735.0,Vinny Anthony,Louisville Male,,WR,73.0,170.0,3.0,0.8719,Louisville,KY,USA,"{'latitude': 38.2542376, 'longitude': -85.759407, 'fipsCode': '21111'}",2022.0,4.0,wisconsin,none,0,0,566,0.5004985044865404,0.7008973080757727,0.6207377866400797,0.7008973080757727,Starter
Walker Lyons,USC,Big Ten,2024,receiving,5221043,TE,11,6,0,36,6.0,walker lyons,TE,111362,5221043,HighSchool,2023.0,116.0,Walker Lyons,Folsom,USC,TE,76.0,230.0,4.0,0.9452,Folsom,CA,USA,"{'latitude': 38.6779591, 'longitude': -121.1760583, 'fipsCode': '06067'}",2023.0,2.0,usc,usc,1,0,66,0.5003996802557954,0.29536370903277376,0.3773780975219824,0.29536370903277376,Depth / Rotation
Walker Lyons,USC,Big Ten,2025,receiving,5221043,TE,26,20,2,223,11.2,walker lyons,TE,111362,5221043,HighSchool,2023.0,116.0,Walker Lyons,Folsom,USC,TE,76.0,230.0,4.0,0.9452,Folsom,CA,USA,"{'latitude': 38.6779591, 'longitude': -121.1760583, 'fipsCode': '06067'}",2023.0,3.0,usc,usc,1,0,363,0.5004132231404959,0.6322314049586777,0.579504132231405,0.6322314049586777,Starter
Walker Merrill,Tennessee,SEC,2021,receiving,4432732,WR,16,5,0,52,10.4,walker merrill,WR,116083,4432732,HighSchool,2021.0,342.0,Walker Merrill,Brentwood,Tennessee,WR,73.0,178.0,4.0,0.8967,Brentwood,TN,USA,"{'latitude': 36.0325687, 'longitude': -86.7825235, 'fipsCode': '47187'}",2021.0,1.0,tennessee,tennessee,1,0,77,0.5005753739930955,0.4689298043728424,0.4815880322209436,0.4689298043728424,Depth / Rotation
Walker Merrill,Tennessee,SEC,2022,receiving,4432732,WR,38,8,3,116,14.5,walker merrill,WR,116083,4432732,HighSchool,2021.0,342.0,Walker Merrill,Brentwood,Tennessee,WR,73.0,178.0,4.0,0.8967,Brentwood,TN,USA,"{'latitude': 36.0325687, 'longitude': -86.7825235, 'fipsCode': '47187'}",2021.0,2.0,tennessee,tennessee,1,0,216,0.5003996802557954,0.5999200639488409,0.5601119104716227,0.5999200639488409,Depth / Rotation
Walker Merrill,Wake Forest,ACC,2024,receiving,4432732,WR,14,9,0,77,8.6,walker merrill,WR,116083,4432732,HighSchool,2021.0,342.0,Walker Merrill,Brentwood,Tennessee,WR,73.0,178.0,4.0,0.8967,Brentwood,TN,USA,"{'latitude': 36.0325687, 'longitude': -86.7825235, 'fipsCode': '47187'}",2021.0,4.0,wake forest,tennessee,0,0,122,0.5004985044865404,0.3155533399800598,0.38953140578265205,0.3155533399800598,Depth / Rotation
Warren Thompson,Florida State,ACC,2019,receiving,4363030,WR,51,6,0,91,15.2,warren thompson,WR,126426,4363030,HighSchool,2018.0,157.0,Warren Thompson,Armwood,Florida State,WR,75.0,200.0,4.0,0.9361,Seffner,FL,USA,"{'latitude': 27.998541000000003, 'longitude': -82.27488400114905, 'fipsCode': '12057'}",2018.0,2.0,florida state,florida state,1,0,121,0.5003996802557954,0.4396482813749001,0.4639488409272582,0.4396482813749001,Depth / Rotation
Warren Thompson,Florida State,ACC,2020,receiving,4363030,WR,33,5,1,104,20.8,warren thompson,WR,126426,4363030,HighSchool,2018.0,157.0,Warren Thompson,Armwood,Florida State,WR,75.0,200.0,4.0,0.9361,Seffner,FL,USA,"{'latitude': 27.998541000000003, 'longitude': -82.27488400114905, 'fipsCode': '12057'}",2018.0,3.0,florida state,florida state,1,0,149,0.5004132231404959,0.42396694214876035,0.4545454545454546,0.42396694214876035,Depth / Rotation
